id,entry_at,exit_at,symbol,direction,entry_price,exit_price,lot,stop_loss,take_profit,pnl_pct,holding_hours,kind,status,note,エントリー_曜日,エントリー_時間,エントリー_セッション,エントリー_月,エントリー_週番号,エントリー_日付,決済_曜日,決済_時間,決済_セッション,決済_月,決済_週番号,決済_日付
SP500_USD_28310400,2026-05-26T22:37:29+09:00,2026-05-27T18:08:20+09:00,sp500_usd,ロング,7537.09,7536.02,0.02,7485.97,7612.04,-0.014,19.51,裁量（MT4）,closed,第 11 号トレード。MT4 注文番号 28310400。損益 -34 円、スワップ -4 円。ほぼ建値で手動決済。,火,22,NY セッション,5,22,2026-05-26,水,18,欧州セッション,5,22,2026-05-27
NASDAQ_USD_28310436,2026-05-26T22:39:17+09:00,2026-05-27T18:08:13+09:00,nasdaq_usd,ロング,29793.4,30091.4,0.02,29487.4,30241.8,1.0,19.48,裁量（MT4）,closed,"第 12 号トレード。MT4 注文番号 28310436。損益 +9,493 円、スワップ -13 円。手動利確。",火,22,NY セッション,5,22,2026-05-26,水,18,欧州セッション,5,22,2026-05-27
BTCUSDT_28319743,2026-05-27T14:25:15+09:00,2026-05-27T18:09:15+09:00,btcusdt,ロング,75790.9,75751.4,0.03,74551.0,78017.0,-0.052,3.73,裁量（MT4）,closed,第 13 号トレード。MT4 注文番号 28319743。損益 -189 円、スワップ +0 円。小幅損で手動決済。,水,14,東京セッション,5,22,2026-05-27,水,18,欧州セッション,5,22,2026-05-27
EURAUD_28319764,2026-05-27T14:26:51+09:00,2026-05-27T19:51:25+09:00,euraud,ロング,1.62312,1.62571,0.3,1.618,1.632,0.16,5.41,裁量（MT4）,closed,"第 14 号トレード。MT4 注文番号 28319764。損益 +8,855 円、スワップ +0 円。手動利確。",水,14,東京セッション,5,22,2026-05-27,水,19,欧州セッション,5,22,2026-05-27
OILWTI_USD_28329939,2026-05-28T04:03:57+09:00,2026-05-28T05:30:11+09:00,oilwti_usd,ショート,89.561,88.708,0.1,93.5,84.29,0.952,1.44,裁量（MT4）,closed,"第 15 号トレード。MT4 注文番号 28329939。損益 +13,598 円、スワップ +0 円。短時間で利確。",木,4,深夜,5,22,2026-05-28,木,5,深夜,5,22,2026-05-28
SP500_USD_28329815,2026-05-28T04:02:12+09:00,2026-05-28T07:44:27+09:00,sp500_usd,ロング,7542.79,7512.0,0.03,7512.0,7645.0,-0.408,3.7,裁量（MT4）,closed,"第 16 号トレード。MT4 注文番号 28329815。損益 -1,473 円、スワップ +0 円。損切り(SL 7512)で決済。",木,4,深夜,5,22,2026-05-28,木,7,早朝,5,22,2026-05-28
GBPAUD_28330037,2026-05-28T04:09:03+09:00,2026-05-28T20:06:03+09:00,gbpaud,ロング,1.88413,1.88323,0.3,1.877,1.895,-0.048,15.95,裁量（MT4）,closed,"第 17 号トレード。MT4 注文番号 28330037。損益 -3,058 円、スワップ -350 円。手動損切り。",木,4,深夜,5,22,2026-05-28,木,20,欧州セッション,5,22,2026-05-28
GOLD_USD_28375278,2026-06-01T16:20:31+09:00,2026-06-02T07:16:21+09:00,gold_usd,ロング,4505.94,4484.35,0.02,4430.0,,-0.479,14.93,裁量（MT4）,closed,"第 18 号トレード。MT4 注文番号 28375278。損益 -6,993 円、スワップ -98 円。ゴールド押し目買いが下落し手動損切り。時刻はMT4サーバー時刻(GMT+3)＋6hでJST換算。",月,16,欧州オープン,6,23,2026-06-01,火,7,早朝,6,23,2026-06-02
N225_JPY_28375299,2026-06-01T16:39:30+09:00,2026-06-02T09:51:26+09:00,n225_jpy,ロング,67025.0,66175.0,0.02,66175.0,68726.0,-1.268,17.2,裁量（MT4）,closed,"第 19 号トレード。MT4 注文番号 28375299。損益 -17,000 円、スワップ -18 円。日経ロングが SL(66175)到達で損切り。今週最大の損失。時刻はGMT+3＋6hでJST換算。",月,16,欧州オープン,6,23,2026-06-01,火,9,東京セッション,6,23,2026-06-02
GOLD_USD_28375280,2026-06-01T22:12:48+09:00,2026-06-02T07:16:28+09:00,gold_usd,ロング,4473.24,4484.24,0.02,4430.0,,0.246,9.06,裁量（MT4）,closed,"第 20 号トレード。MT4 注文番号 28375280。損益 +3,512 円、スワップ -98 円。ゴールド押し目買いを手動利確（今週唯一の勝ち）。時刻はGMT+3＋6hでJST換算。",月,22,NY セッション,6,23,2026-06-01,火,7,早朝,6,23,2026-06-02
N225_JPY_28388662,2026-06-02T11:08:40+09:00,2026-06-02T11:09:29+09:00,n225_jpy,ロング,65757.9,65714.2,0.02,,,-0.066,0.01,裁量（MT4）,closed,第 21 号トレード。MT4 注文番号 28388662。損益 -874 円、スワップ 0 円。約1分で手動決済（小幅損）。時刻はGMT+3＋6hでJST換算。,火,11,東京セッション,6,23,2026-06-02,火,11,東京セッション,6,23,2026-06-02
N225_JPY_28428720,2026-06-04T21:00:55+09:00,2026-06-05T09:01:58+09:00,n225_jpy,ロング,67392.9,66686.1,0.02,66686.1,68679.9,-1.049,12.02,裁量（MT4）,closed,"第 22 号トレード。MT4 注文番号 28428720。損益 -14,136 円、スワップ -18 円。日経ロングが SL(66686.1)到達で損切り（VIX急騰の荒れ相場）。時刻はGMT+3＋6hでJST換算。",木,21,欧州セッション,6,23,2026-06-04,金,9,東京セッション,6,23,2026-06-05
NASDAQ_USD_28428733,2026-06-04T21:01:32+09:00,2026-06-05T10:41:04+09:00,nasdaq_usd,ロング,30241.0,30118.6,0.03,29993.4,30739.1,-0.405,13.66,裁量（MT4）,closed,"第 23 号トレード。MT4 注文番号 28428733。損益 -5,873 円、スワップ -20 円。ナスダックロングを手動損切り（SL到達前）。時刻はGMT+3＋6hでJST換算。",木,21,欧州セッション,6,23,2026-06-04,金,10,東京セッション,6,23,2026-06-05
